# uniform Lorentzian, HWHM 0.15 eV, area of each line = oscillator strength
energy_eV	wavelength_nm	intensity
1.986243	624.2146	2.10032181e-02
1.988494	623.5079	2.10736659e-02
1.990745	622.8029	2.11445379e-02
1.992996	622.0994	2.12158379e-02
1.995248	621.3975	2.12875695e-02
1.997499	620.6972	2.13597364e-02
1.999750	619.9985	2.14323423e-02
2.002001	619.3014	2.15053911e-02
2.004252	618.6058	2.15788865e-02
2.006503	617.9117	2.16528324e-02
2.008754	617.2193	2.17272327e-02
2.011006	616.5284	2.18020915e-02
2.013257	615.8390	2.18774126e-02
2.015508	615.1512	2.19532002e-02
2.017759	614.4649	2.20294582e-02
2.020010	613.7801	2.21061910e-02
2.022261	613.0969	2.21834025e-02
2.024512	612.4151	2.22610971e-02
2.026763	611.7349	2.23392790e-02
2.029015	611.0562	2.24179526e-02
2.031266	610.3790	2.24971221e-02
2.033517	609.7033	2.25767921e-02
2.035768	609.0291	2.26569670e-02
2.038019	608.3564	2.27376513e-02
2.040270	607.6852	2.28188496e-02
2.042521	607.0154	2.29005665e-02
2.044772	606.3472	2.29828067e-02
2.047024	605.6804	2.30655749e-02
2.049275	605.0150	2.31488758e-02
2.051526	604.3511	2.32327144e-02
2.053777	603.6887	2.33170955e-02
2.056028	603.0277	2.34020241e-02
2.058279	602.3682	2.34875051e-02
2.060530	601.7101	2.35735437e-02
2.062781	601.0535	2.36601449e-02
2.065033	600.3983	2.37473139e-02
2.067284	599.7445	2.38350561e-02
2.069535	599.0921	2.39233766e-02
2.071786	598.4411	2.40122808e-02
2.074037	597.7916	2.41017742e-02
2.076288	597.1435	2.41918623e-02
2.078539	596.4968	2.42825505e-02
2.080790	595.8514	2.43738447e-02
2.083042	595.2075	2.44657503e-02
2.085293	594.5650	2.45582732e-02
2.087544	593.9238	2.46514192e-02
2.089795	593.2840	2.47451942e-02
2.092046	592.6456	2.48396042e-02
2.094297	592.0086	2.49346552e-02
2.096548	591.3729	2.50303532e-02
2.098799	590.7387	2.51267046e-02
2.101051	590.1057	2.52237155e-02
2.103302	589.4741	2.53213922e-02
2.105553	588.8439	2.54197412e-02
2.107804	588.2150	2.55187690e-02
2.110055	587.5875	2.56184821e-02
2.112306	586.9613	2.57188872e-02
2.114557	586.3364	2.58199909e-02
2.116808	585.7129	2.59218002e-02
2.119060	585.0907	2.60243218e-02
2.121311	584.4698	2.61275628e-02
2.123562	583.8502	2.62315302e-02
2.125813	583.2319	2.63362312e-02
2.128064	582.6150	2.64416730e-02
2.130315	581.9993	2.65478629e-02
2.132566	581.3849	2.66548084e-02
2.134817	580.7719	2.67625170e-02
2.137069	580.1601	2.68709962e-02
2.139320	579.5496	2.69802538e-02
2.141571	578.9404	2.70902976e-02
2.143822	578.3325	2.72011354e-02
2.146073	577.7259	2.73127753e-02
2.148324	577.1205	2.74252254e-02
2.150575	576.5164	2.75384938e-02
2.152826	575.9136	2.76525889e-02
2.155078	575.3120	2.77675190e-02
2.157329	574.7117	2.78832928e-02
2.159580	574.1126	2.79999187e-02
2.161831	573.5148	2.81174056e-02
2.164082	572.9182	2.82357623e-02
2.166333	572.3228	2.83549977e-02
2.168584	571.7287	2.84751210e-02
2.170835	571.1358	2.85961414e-02
2.173087	570.5442	2.87180681e-02
2.175338	569.9538	2.88409106e-02
2.177589	569.3646	2.89646784e-02
2.179840	568.7766	2.90893813e-02
2.182091	568.1898	2.92150291e-02
2.184342	567.6043	2.93416316e-02
2.186593	567.0199	2.94691991e-02
2.188844	566.4368	2.95977416e-02
2.191096	565.8548	2.97272695e-02
2.193347	565.2740	2.98577934e-02
2.195598	564.6945	2.99893238e-02
2.197849	564.1161	3.01218715e-02
2.200100	563.5389	3.02554474e-02
2.202351	562.9629	3.03900626e-02
2.204602	562.3880	3.05257282e-02
2.206853	561.8144	3.06624556e-02
2.209105	561.2419	3.08002563e-02
2.211356	560.6705	3.09391421e-02
2.213607	560.1003	3.10791246e-02
2.215858	559.5313	3.12202159e-02
2.218109	558.9635	3.13624281e-02
2.220360	558.3968	3.15057736e-02
2.222611	557.8312	3.16502649e-02
2.224862	557.2668	3.17959145e-02
2.227114	556.7035	3.19427353e-02
2.229365	556.1414	3.20907404e-02
2.231616	555.5804	3.22399429e-02
2.233867	555.0205	3.23903561e-02
2.236118	554.4617	3.25419937e-02
2.238369	553.9041	3.26948694e-02
2.240620	553.3476	3.28489971e-02
2.242871	552.7922	3.30043909e-02
2.245123	552.2380	3.31610653e-02
2.247374	551.6848	3.33190347e-02
2.249625	551.1328	3.34783139e-02
2.251876	550.5818	3.36389178e-02
2.254127	550.0320	3.38008616e-02
2.256378	549.4832	3.39641607e-02
2.258629	548.9356	3.41288307e-02
2.260880	548.3890	3.42948874e-02
2.263132	547.8435	3.44623468e-02
2.265383	547.2991	3.46312254e-02
2.267634	546.7558	3.48015395e-02
2.269885	546.2136	3.49733059e-02
2.272136	545.6724	3.51465418e-02
2.274387	545.1323	3.53212642e-02
2.276638	544.5933	3.54974907e-02
2.278889	544.0553	3.56752391e-02
2.281141	543.5184	3.58545274e-02
2.283392	542.9826	3.60353739e-02
2.285643	542.4478	3.62177971e-02
2.287894	541.9141	3.64018159e-02
2.290145	541.3814	3.65874494e-02
2.292396	540.8498	3.67747171e-02
2.294647	540.3192	3.69636385e-02
2.296898	539.7896	3.71542337e-02
2.299150	539.2611	3.73465229e-02
2.301401	538.7336	3.75405268e-02
2.303652	538.2072	3.77362663e-02
2.305903	537.6817	3.79337625e-02
2.308154	537.1574	3.81330371e-02
2.310405	536.6340	3.83341118e-02
2.312656	536.1116	3.85370089e-02
2.314907	535.5903	3.87417510e-02
2.317159	535.0700	3.89483608e-02
2.319410	534.5506	3.91568617e-02
2.321661	534.0323	3.93672773e-02
2.323912	533.5150	3.95796315e-02
2.326163	532.9987	3.97939486e-02
2.328414	532.4834	4.00102534e-02
2.330665	531.9691	4.02285710e-02
2.332916	531.4558	4.04489268e-02
2.335168	530.9434	4.06713468e-02
2.337419	530.4321	4.08958572e-02
2.339670	529.9217	4.11224848e-02
2.341921	529.4124	4.13512567e-02
2.344172	528.9040	4.15822004e-02
2.346423	528.3966	4.18153441e-02
2.348674	527.8901	4.20507161e-02
2.350925	527.3846	4.22883453e-02
2.353177	526.8801	4.25282611e-02
2.355428	526.3766	4.27704933e-02
2.357679	525.8740	4.30150724e-02
2.359930	525.3723	4.32620290e-02
2.362181	524.8717	4.35113945e-02
2.364432	524.3719	4.37632008e-02
2.366683	523.8732	4.40174801e-02
2.368934	523.3754	4.42742654e-02
2.371186	522.8785	4.45335900e-02
2.373437	522.3826	4.47954880e-02
2.375688	521.8876	4.50599937e-02
2.377939	521.3935	4.53271424e-02
2.380190	520.9004	4.55969697e-02
2.382441	520.4082	4.58695119e-02
2.384692	519.9169	4.61448058e-02
2.386943	519.4266	4.64228889e-02
2.389195	518.9372	4.67037994e-02
2.391446	518.4487	4.69875759e-02
2.393697	517.9611	4.72742580e-02
2.395948	517.4745	4.75638856e-02
2.398199	516.9887	4.78564996e-02
2.400450	516.5039	4.81521414e-02
2.402701	516.0200	4.84508531e-02
2.404952	515.5370	4.87526776e-02
2.407204	515.0549	4.90576586e-02
2.409455	514.5737	4.93658403e-02
2.411706	514.0933	4.96772680e-02
2.413957	513.6139	4.99919875e-02
2.416208	513.1354	5.03100456e-02
2.418459	512.6578	5.06314897e-02
2.420710	512.1810	5.09563682e-02
2.422961	511.7052	5.12847304e-02
2.425213	511.2302	5.16166261e-02
2.427464	510.7561	5.19521065e-02
2.429715	510.2829	5.22912233e-02
2.431966	509.8106	5.26340292e-02
2.434217	509.3391	5.29805780e-02
2.436468	508.8685	5.33309244e-02
2.438719	508.3988	5.36851238e-02
2.440970	507.9299	5.40432330e-02
2.443222	507.4619	5.44053095e-02
2.445473	506.9948	5.47714120e-02
2.447724	506.5285	5.51416003e-02
2.449975	506.0631	5.55159352e-02
2.452226	505.5985	5.58944785e-02
2.454477	505.1348	5.62772934e-02
2.456728	504.6720	5.66644439e-02
2.458979	504.2100	5.70559954e-02
2.461231	503.7488	5.74520146e-02
2.463482	503.2885	5.78525691e-02
2.465733	502.8290	5.82577281e-02
2.467984	502.3703	5.86675617e-02
2.470235	501.9125	5.90821418e-02
2.472486	501.4555	5.95015411e-02
2.474737	500.9994	5.99258341e-02
2.476988	500.5441	6.03550963e-02
2.479240	500.0896	6.07894050e-02
2.481491	499.6359	6.12288387e-02
2.483742	499.1831	6.16734774e-02
2.485993	498.7311	6.21234028e-02
2.488244	498.2799	6.25786979e-02
2.490495	497.8295	6.30394475e-02
2.492746	497.3799	6.35057378e-02
2.494997	496.9311	6.39776569e-02
2.497249	496.4832	6.44552943e-02
2.499500	496.0360	6.49387415e-02
2.501751	495.5897	6.54280916e-02
2.504002	495.1441	6.59234394e-02
2.506253	494.6994	6.64248819e-02
2.508504	494.2555	6.69325177e-02
2.510755	493.8123	6.74464473e-02
2.513007	493.3700	6.79667733e-02
2.515258	492.9284	6.84936002e-02
2.517509	492.4876	6.90270347e-02
2.519760	492.0477	6.95671855e-02
2.522011	491.6085	7.01141634e-02
2.524262	491.1700	7.06680814e-02
2.526513	490.7324	7.12290549e-02
2.528764	490.2956	7.17972015e-02
2.531016	489.8595	7.23726411e-02
2.533267	489.4242	7.29554959e-02
2.535518	488.9896	7.35458909e-02
2.537769	488.5559	7.41439532e-02
2.540020	488.1229	7.47498128e-02
2.542271	487.6907	7.53636021e-02
2.544522	487.2592	7.59854563e-02
2.546773	486.8285	7.66155132e-02
2.549025	486.3986	7.72539136e-02
2.551276	485.9694	7.79008010e-02
2.553527	485.5410	7.85563220e-02
2.555778	485.1133	7.92206259e-02
2.558029	484.6864	7.98938655e-02
2.560280	484.2603	8.05761965e-02
2.562531	483.8348	8.12677776e-02
2.564782	483.4102	8.19687712e-02
2.567034	482.9863	8.26793427e-02
2.569285	482.5631	8.33996612e-02
2.571536	482.1407	8.41298993e-02
2.573787	481.7190	8.48702328e-02
2.576038	481.2980	8.56208417e-02
2.578289	480.8778	8.63819095e-02
2.580540	480.4583	8.71536236e-02
2.582791	480.0395	8.79361751e-02
2.585043	479.6215	8.87297596e-02
2.587294	479.2042	8.95345763e-02
2.589545	478.7876	9.03508290e-02
2.591796	478.3717	9.11787256e-02
2.594047	477.9566	9.20184785e-02
2.596298	477.5422	9.28703044e-02
2.598549	477.1285	9.37344250e-02
2.600800	476.7155	9.46110662e-02
2.603052	476.3033	9.55004591e-02
2.605303	475.8917	9.64028396e-02
2.607554	475.4809	9.73184486e-02
2.609805	475.0707	9.82475322e-02
2.612056	474.6613	9.91903417e-02
2.614307	474.2526	1.00147134e-01
2.616558	473.8446	1.01118171e-01
