# # polarizability field in atomic units, damped with signal_damped = signal * exp(-t/tau) where tau = 200

Timestamps (au),X Values,Y Values,Z Values
21.4,-0.00011868669676559502,3.4375977431615283e-16,6.682928276512084e-08
21.5,-0.00014370301144472022,3.3758525928215447e-16,6.821074933201539e-08
21.6,-0.00016700219379173507,3.140853433609995e-16,6.947265325675406e-08
21.7,-0.0001883581773099067,3.1879530962838713e-16,7.060905733135893e-08
21.8,-0.00021007074538665163,3.2340584590256463e-16,7.147575510429519e-08
21.9,-0.00023038800217375723,2.9949797963243426e-16,7.213629611887175e-08
22.0,-0.0002478695091085719,2.9251334731467634e-16,7.266315548490417e-08
22.1,-0.00026492806595522104,3.03800635615312e-16,7.291450440096908e-08
22.2,-0.0002810123434701342,2.872883431789879e-16,7.289697852643331e-08
22.3,-0.0002938082086973482,2.6928428262201743e-16,7.274652227156673e-08
22.4,-0.00030521662639716263,2.8016343815976823e-16,7.236540074353809e-08
22.5,-0.00031600151843590423,2.7556432381048867e-16,7.169104126222854e-08
22.6,-0.0003235385702378351,2.5179717001204496e-16,7.088494013287492e-08
22.7,-0.00032872771429638404,2.5550444463054542e-16,6.992764862658472e-08
22.8,-0.000333439856059921,2.6257203528647797e-16,6.870058918577666e-08
22.9,-0.0003353863424919935,2.4096499463519153e-16,6.734169079518678e-08
23.0,-0.00033423531504628604,2.340515936396952e-16,6.592153479559421e-08
23.1,-0.0003324872388715569,2.4796808224842113e-16,6.430175301191904e-08
23.2,-0.000328756225519776,2.3577172238267313e-16,6.255443919919945e-08
23.3,-0.00032156369385098684,2.1950334841190896e-16,6.08224754205718e-08
23.4,-0.00031341356940807344,2.32963801155077e-16,5.899373969167675e-08
23.5,-0.00030416973933242777,2.3402677110302813e-16,5.705534555375012e-08
23.6,-0.00029158560840569103,2.142053521798934e-16,5.518033247193734e-08
23.7,-0.00027755061816238825,2.2069831145730377e-16,5.332050749940816e-08
23.8,-0.0002632189867354196,2.337378937431564e-16,5.1388863366050844e-08
23.9,-0.00024615248077871076,2.180273917810493e-16,4.953741065696726e-08
24.0,-0.00022717015225979013,2.144647086906885e-16,4.779650146325016e-08
24.1,-0.0002084407284248277,2.338698383842183e-16,4.604030524373746e-08
24.2,-0.0001879628755475536,2.289189889311994e-16,4.435835196906926e-08
24.3,-0.0001653039185214529,2.1711529013735767e-16,4.284646367115555e-08
24.4,-0.0001431237266973572,2.352477841770854e-16,4.1384757784627055e-08
24.5,-0.00012038011858414626,2.4379123505014196e-16,3.998242704347017e-08
24.6,-9.552516903528343e-05,2.2960320707226506e-16,3.8766916099141804e-08
24.7,-7.10692062491212e-05,2.399846104703003e-16,3.766146344797963e-08
24.8,-4.721351940029821e-05,2.597090770061578e-16,3.6604138675691595e-08
24.9,-2.1712682486896904e-05,2.5055383491173317e-16,3.5713695883632794e-08
25.0,3.671528598351569e-06,2.5051752496790197e-16,3.497438370398141e-08
25.1,2.751988733256333e-05,2.749438682529898e-16,3.428242439936337e-08
25.2,5.218315045559024e-05,2.766008270860055e-16,3.371575836968084e-08
25.3,7.705740877828534e-05,2.6835558518918215e-16,3.3315819904757386e-08
25.4,9.983516394924758e-05,2.8964533633133544e-16,3.2973479674568546e-08
25.5,0.0001223560460228399,3.0392461244582727e-16,3.271084042486618e-08
25.6,0.00014529343679110958,2.9356467210917945e-16,3.260682844708169e-08
25.7,0.0001660035701126785,3.0551208759784363e-16,3.257824756431378e-08
25.8,0.000185329865417846,3.2918385946552514e-16,3.259440029604501e-08
25.9,0.0002050249804811228,3.2388623878733073e-16,3.2745724778680756e-08
26.0,0.0002227459462869687,3.2439124153810044e-16,3.299363036982858e-08
26.1,0.00023810844232590773,3.503924947545775e-16,3.327053349739381e-08
26.2,0.00025348064080627007,3.552788614136911e-16,3.365459505310657e-08
26.3,0.00026738415255723243,3.471925229025987e-16,3.4156482068512796e-08
26.4,0.00027828714434368436,3.677324420432182e-16,3.46932194189827e-08
26.5,0.0002885615203042101,3.8372994378001807e-16,3.5313748122384184e-08
26.6,0.00029794416683154437,3.733518426894451e-16,3.6071251094622345e-08
26.7,0.00030412755221768506,3.826832184095885e-16,3.688846034504866e-08
26.8,0.00030888161340224306,4.0587658037691436e-16,3.7776030351618706e-08
26.9,0.0003132097271886013,4.003125739093832e-16,3.881528226388343e-08
27.0,0.00031459878689892826,3.9724424661372956e-16,3.9951982497015965e-08
27.1,0.0003137689903018502,4.2042767203284947e-16,4.115671165078594e-08
27.2,0.00031273039078695536,4.243087828788847e-16,4.251992806028011e-08
27.3,0.00030938989365821386,4.12297227355927e-16,4.4022453523961205e-08
27.4,0.00030323975310928464,4.277859840562059e-16,4.5599771939678474e-08
27.5,0.0002967918298732543,4.413419327443335e-16,4.73301796650279e-08
27.6,0.00028889755078682656,4.271898994594507e-16,4.923507630663064e-08
27.7,0.0002779562580362196,4.3011382482039516e-16,5.122655538634634e-08
27.8,0.00026635848619253584,4.490204565375295e-16,5.334986913755125e-08
27.9,0.00025419257582542796,4.3979553874414713e-16,5.566446927358528e-08
28.0,0.0002391782324439109,4.299135835016248e-16,5.8076921047218675e-08
28.1,0.00022299902308707724,4.470162491694737e-16,6.058288763850067e-08
28.2,0.00020696764386546744,4.471247985651805e-16,6.326802985439601e-08
28.3,0.00018871103786341733,4.2893339865517875e-16,6.605499480531727e-08
28.4,0.0001688033788147157,4.371890775170138e-16,6.888241593045544e-08
28.5,0.00014946764014503255,4.464416147372287e-16,7.184140204484178e-08
28.6,0.00012885056921562625,4.272674965788764e-16,7.489137169026408e-08
28.7,0.00010629705138310716,4.2271251666852716e-16,7.79196060356238e-08
28.8,8.440336848525746e-05,4.3642845492271313e-16,8.09962361286316e-08
28.9,6.232028734016756e-05,4.2326524115758937e-16,8.413115120395564e-08
29.0,3.835427972064592e-05,4.066773683073771e-16,8.718039491010294e-08
29.1,1.4849043452547707e-05,4.1781618948056384e-16,9.016720524761226e-08
29.2,-7.806407093401123e-06,4.147114718397247e-16,9.315311833833086e-08
29.3,-3.189203237902838e-05,3.9144173406783737e-16,9.599472268956836e-08
29.4,-5.5875864226183865e-05,3.935944240287844e-16,9.865081088923193e-08
29.5,-7.820529636123772e-05,3.999077846545217e-16,1.0122042127438156e-07
29.6,-0.00010114852882534422,3.7766403831443525e-16,1.0359712648332301e-07
29.7,-0.0001243393039330334,3.677831708456572e-16,1.0567338595231753e-07
29.8,-0.0001454265595821052,3.785646427012542e-16,1.0755789641570766e-07
29.9,-0.00016607351323066744,3.6426475408004694e-16,1.0921234721704472e-07
30.0,-0.00018714178688804115,3.440625466417499e-16,1.1048073870102531e-07
30.1,-0.0002060465734889016,3.5228291702723146e-16,1.1144650005730653e-07
30.2,-0.00022340738579511294,3.4935274833089175e-16,1.1215494368820714e-07
30.3,-0.00024107067100168374,3.2481165124353977e-16,1.1243782182377651e-07
30.4,-0.00025684165163348144,3.245920029390946e-16,1.123219004330122e-07
30.5,-0.0002701223678237643,3.318029479849954e-16,1.119287150809554e-07
30.6,-0.0002832587173466361,3.1076367014817063e-16,1.1112431084645973e-07
30.7,-0.0002949738913656022,2.9983390709904263e-16,1.0986272114581436e-07
30.8,-0.0003035874684249162,3.1180288674620424e-16,1.0831052191968421e-07
30.9,-0.0003113403053706636,3.008099883391924e-16,1.0641143424715838e-07
31.0,-0.0003181750773850476,2.8159476503310236e-16,1.040546873341266e-07
31.1,-0.0003217390630248331,2.9121555262957996e-16,1.0140443154820712e-07
31.2,-0.0003235969236106556,2.928431280343369e-16,9.850694806777229e-08
31.3,-0.00032491213323168074,2.7156583168841566e-16,9.5219831539429e-08
31.4,-0.0003232424675898968,2.7315506905536957e-16,9.165590281057899e-08
31.5,-0.00031908200943960957,2.8515625209550454e-16,8.79589014857256e-08
31.6,-0.00031451738244016796,2.6932381209119774e-16,8.400452527562795e-08
31.7,-0.00030762665439277063,2.610328754587766e-16,7.982162730057903e-08
31.8,-0.0002977142382179783,2.773608865609982e-16,7.561429200278126e-08
31.9,-0.0002872689461351823,2.7277903055063166e-16,7.132554821826876e-08
32.0,-0.00027537364745438897,2.5751684970574435e-16,6.689745236386035e-08
32.1,-0.00026032834448097054,2.709716533412085e-16,6.253548827380402e-08
32.2,-0.00024441065214523823,2.7939678362773415e-16,5.827907515554288e-08
32.3,-0.0002279465831128654,2.6359700975193744e-16,5.401323170690878e-08
32.4,-0.00020867384685264106,2.687328772723886e-16,4.9884078046196036e-08
32.5,-0.00018810626194443666,2.8689750885786336e-16,4.602250296896834e-08
32.6,-0.00016774578596763685,2.776949023018685e-16,4.230806825393844e-08
32.7,-0.0001453548638599599,2.7318309716701508e-16,3.878745620194424e-08
32.8,-0.00012132887821048498,2.944933909129266e-16,3.564314069688419e-08
32.9,-9.798979999559558e-05,2.968804655366137e-16,3.2801808659025756e-08
33.0,-7.370854526261974e-05,2.8590985549184203e-16,3.020655412313031e-08
33.1,-4.76923049695112e-05,3.0286990668989354e-16,2.8030422380337794e-08
33.2,-2.2526999866407183e-05,3.1741181968482057e-16,2.6278549396753576e-08
33.3,2.3747883718142883e-06,3.063782716027648e-16,2.4823043578555055e-08
33.4,2.8763771322513427e-05,3.138472251326808e-16,2.3768847721381228e-08
33.5,5.440817071107556e-05,3.364811792085159e-16,2.3196226897619814e-08
33.6,7.868049233227788e-05,3.321451639654647e-16,2.2961103374942134e-08
