diameter_nm	wavelength_nm	qabs	cabs_nm2
35.0	395.5	3.41319732e+00	3.28388066e+03
35.0	396.0	3.49838578e+00	3.36584156e+03
35.0	396.5	3.58661700e+00	3.45072995e+03
35.0	397.0	3.67797928e+00	3.53863076e+03
35.0	397.5	3.77255627e+00	3.62962449e+03
35.0	398.0	3.87042628e+00	3.72378647e+03
35.0	398.5	3.97166138e+00	3.82118605e+03
35.0	399.0	4.07632637e+00	3.92188558e+03
35.0	399.5	4.18447762e+00	4.02593928e+03
35.0	400.0	4.29616164e+00	4.13339189e+03
35.0	400.5	4.41141352e+00	4.24427720e+03
35.0	401.0	4.53025515e+00	4.35861624e+03
35.0	401.5	4.65269320e+00	4.47641545e+03
35.0	402.0	4.77871687e+00	4.59766443e+03
35.0	402.5	4.90829545e+00	4.72233364e+03
35.0	403.0	5.04137562e+00	4.85037176e+03
35.0	403.5	5.17787852e+00	4.98170294e+03
35.0	404.0	5.31769667e+00	5.11622377e+03
35.0	404.5	5.46069068e+00	5.25380013e+03
35.0	405.0	5.60668579e+00	5.39426389e+03
35.0	405.5	5.75546841e+00	5.53740954e+03
35.0	406.0	5.90678250e+00	5.68299075e+03
35.0	406.5	6.06032614e+00	5.83071705e+03
35.0	407.0	6.21574814e+00	5.98025054e+03
35.0	407.5	6.37264498e+00	6.13120299e+03
35.0	408.0	6.53055811e+00	6.28313322e+03
35.0	408.5	6.68897180e+00	6.43554506e+03
35.0	409.0	6.84731177e+00	6.58788596e+03
35.0	409.5	7.00494465e+00	6.73954656e+03
35.0	410.0	7.16117854e+00	6.88986118e+03
35.0	410.5	7.31526493e+00	7.03810966e+03
35.0	411.0	7.46640199e+00	7.18352055e+03
35.0	411.5	7.61373951e+00	7.32527586e+03
35.0	412.0	7.75638565e+00	7.46251753e+03
35.0	412.5	7.89341541e+00	7.59435561e+03
35.0	413.0	8.02388102e+00	7.71987824e+03
35.0	413.5	8.14682411e+00	7.83816335e+03
35.0	414.0	8.26128947e+00	7.94829193e+03
35.0	414.5	8.36634026e+00	8.04936264e+03
35.0	415.0	8.46107423e+00	8.14050739e+03
35.0	415.5	8.54464060e+00	8.22090767e+03
35.0	416.0	8.61625706e+00	8.28981078e+03
35.0	416.5	8.67522629e+00	8.34654582e+03
35.0	417.0	8.72095142e+00	8.39053856e+03
35.0	417.5	8.75294989e+00	8.42132469e+03
35.0	418.0	8.77086494e+00	8.43856099e+03
35.0	418.5	8.77447453e+00	8.44203382e+03
35.0	419.0	8.76369697e+00	8.43166460e+03
35.0	419.5	8.73859324e+00	8.40751198e+03
35.0	420.0	8.69936576e+00	8.36977072e+03
35.0	420.5	8.64635371e+00	8.31876714e+03
35.0	421.0	8.58002507e+00	8.25495152e+03
35.0	421.5	8.50096582e+00	8.17888761e+03
35.0	422.0	8.40986658e+00	8.09123987e+03
35.0	422.5	8.30750747e+00	7.99275886e+03
35.0	423.0	8.19474160e+00	7.88426538e+03
35.0	423.5	8.07247799e+00	7.76663400e+03
35.0	424.0	7.94166429e+00	7.64077647e+03
35.0	424.5	7.80327008e+00	7.50762564e+03
35.0	425.0	7.65827105e+00	7.36812023e+03
35.0	425.5	7.50763452e+00	7.22319090e+03
35.0	426.0	7.35230654e+00	7.07374787e+03
35.0	426.5	7.19320083e+00	6.92067023e+03
35.0	427.0	7.03118952e+00	6.76479709e+03
35.0	427.5	6.86709585e+00	6.60692047e+03
35.0	428.0	6.70168865e+00	6.44778009e+03
35.0	428.5	6.53567856e+00	6.28805967e+03
35.0	429.0	6.36971582e+00	6.12838480e+03
35.0	429.5	6.20438936e+00	5.96932211e+03
35.0	430.0	6.04022722e+00	5.81137962e+03
35.0	430.5	5.87769777e+00	5.65500797e+03
35.0	431.0	5.71721192e+00	5.50060248e+03
35.0	431.5	5.55912579e+00	5.34850580e+03
35.0	432.0	5.40374391e+00	5.19901091e+03
35.0	432.5	5.25132272e+00	5.05236455e+03
35.0	433.0	5.10207426e+00	4.90877070e+03
35.0	433.5	4.95616985e+00	4.76839420e+03
35.0	434.0	4.81374389e+00	4.63136438e+03
35.0	434.5	4.67489752e+00	4.49777851e+03
35.0	435.0	4.53970207e+00	4.36770524e+03
35.0	435.5	4.40820250e+00	4.24118783e+03
35.0	436.0	4.28042050e+00	4.11824714e+03
35.0	436.5	4.15635742e+00	3.99888447e+03
35.0	437.0	4.03599702e+00	3.88308419e+03
35.0	437.5	3.91930791e+00	3.77081611e+03
35.0	438.0	3.80624583e+00	3.66203764e+03
35.0	438.5	3.69675566e+00	3.55669576e+03
35.0	439.0	3.59077331e+00	3.45472878e+03
35.0	439.5	3.48822727e+00	3.35606794e+03
35.0	440.0	3.38904014e+00	3.26063873e+03
35.0	440.5	3.29312985e+00	3.16836222e+03
35.0	441.0	3.20041082e+00	3.07915606e+03
35.0	441.5	3.11079492e+00	2.99293546e+03
35.0	442.0	3.02419234e+00	2.90961401e+03
35.0	442.5	2.94051230e+00	2.82910437e+03
35.0	443.0	2.85966371e+00	2.75131892e+03
35.0	443.5	2.78155569e+00	2.67617019e+03
35.0	444.0	2.70609801e+00	2.60357140e+03
35.0	444.5	2.63320152e+00	2.53343676e+03
35.0	445.0	2.56277841e+00	2.46568179e+03
35.0	445.5	2.49474250e+00	2.40022357e+03
35.0	446.0	2.42900943e+00	2.33698094e+03
35.0	446.5	2.36549684e+00	2.27587467e+03
35.0	447.0	2.30412451e+00	2.21682757e+03
35.0	447.5	2.24481442e+00	2.15976457e+03
35.0	448.0	2.18749085e+00	2.10461283e+03
35.0	448.5	2.13208039e+00	2.05130173e+03
35.0	449.0	2.07851202e+00	1.99976292e+03
35.0	449.5	2.02671704e+00	1.94993031e+03
35.0	450.0	1.97662913e+00	1.90174009e+03
35.0	450.5	1.92818427e+00	1.85513067e+03
35.0	451.0	1.88132076e+00	1.81004269e+03
35.0	451.5	1.83597914e+00	1.76641894e+03
35.0	452.0	1.79210219e+00	1.72420437e+03
35.0	452.5	1.74963482e+00	1.68334597e+03
35.0	453.0	1.70852407e+00	1.64379279e+03
35.0	453.5	1.66871900e+00	1.60549582e+03
35.0	454.0	1.63017067e+00	1.56840799e+03
35.0	454.5	1.59283208e+00	1.53248405e+03
35.0	455.0	1.55665807e+00	1.49768057e+03
35.0	455.5	1.52160527e+00	1.46395583e+03
35.0	456.0	1.48763206e+00	1.43126978e+03
35.0	456.5	1.45469850e+00	1.39958397e+03
35.0	457.0	1.42276623e+00	1.36886153e+03
35.0	457.5	1.39179845e+00	1.33906704e+03
35.0	458.0	1.36175986e+00	1.31016653e+03
35.0	458.5	1.33261658e+00	1.28212740e+03
35.0	459.0	1.30433609e+00	1.25491838e+03
35.0	459.5	1.27688720e+00	1.22850946e+03
35.0	460.0	1.25023999e+00	1.20287183e+03
35.0	460.5	1.22436573e+00	1.17797788e+03
35.0	461.0	1.19923686e+00	1.15380108e+03
35.0	461.5	1.17482695e+00	1.13031599e+03
35.0	462.0	1.15111061e+00	1.10749820e+03
35.0	462.5	1.12806348e+00	1.08532426e+03
35.0	463.0	1.10566219e+00	1.06377169e+03
35.0	463.5	1.08388427e+00	1.04281888e+03
35.0	464.0	1.06270820e+00	1.02244510e+03
35.0	464.5	1.04211326e+00	1.00263045e+03
35.0	465.0	1.02207959e+00	9.83355805e+02
35.0	465.5	1.00258811e+00	9.64602799e+02
35.0	466.0	9.83620470e-01	9.46353795e+02
35.0	466.5	9.65159069e-01	9.28591846e+02
35.0	467.0	9.47186978e-01	9.11300668e+02
35.0	467.5	9.29687930e-01	8.94464611e+02
35.0	468.0	9.12646290e-01	8.78068632e+02
35.0	468.5	8.96047029e-01	8.62098271e+02
35.0	469.0	8.79875693e-01	8.46539622e+02
35.0	469.5	8.64118384e-01	8.31379314e+02
35.0	470.0	8.48761733e-01	8.16604485e+02
35.0	470.5	8.33792880e-01	8.02202761e+02
35.0	471.0	8.19199451e-01	7.88162236e+02
35.0	471.5	8.04969536e-01	7.74471454e+02
35.0	472.0	7.91091672e-01	7.61119384e+02
35.0	472.5	7.77554824e-01	7.48095410e+02
35.0	473.0	7.64348366e-01	7.35389309e+02
35.0	473.5	7.51462064e-01	7.22991233e+02
35.0	474.0	7.38886058e-01	7.10891698e+02
35.0	474.5	7.26610853e-01	6.99081566e+02
35.0	475.0	7.14627295e-01	6.87552032e+02
35.0	475.5	7.02926564e-01	6.76294610e+02
35.0	476.0	6.91500156e-01	6.65301117e+02
35.0	476.5	6.80339872e-01	6.54563666e+02
35.0	477.0	6.69437806e-01	6.44074649e+02
35.0	477.5	6.58786332e-01	6.33826730e+02
35.0	478.0	6.48378093e-01	6.23812830e+02
35.0	478.5	6.38205989e-01	6.14026119e+02
35.0	479.0	6.28263170e-01	6.04460006e+02
35.0	479.5	6.18543022e-01	5.95108128e+02
35.0	480.0	6.09039162e-01	5.85964343e+02
35.0	480.5	5.99745424e-01	5.77022719e+02
35.0	481.0	5.90655853e-01	5.68277527e+02
35.0	481.5	5.81764699e-01	5.59723235e+02
