material	diameter_nm	peak_nm	cabs_nm2
Ag_visible	68.0	439.00	1.115624e+04
Ag_visible	68.5	439.50	1.108716e+04
Ag_visible	69.0	440.00	1.101681e+04
Ag_visible	69.5	440.50	1.094529e+04
Ag_visible	70.0	441.50	1.087272e+04
Ag_visible	70.5	442.00	1.079957e+04
Ag_visible	71.0	442.50	1.072553e+04
Ag_visible	71.5	443.00	1.065069e+04
Ag_visible	72.0	443.50	1.057516e+04
Ag_visible	72.5	444.00	1.049901e+04
Ag_visible	73.0	445.00	1.042245e+04
Ag_visible	73.5	445.50	1.034563e+04
Ag_visible	74.0	446.00	1.026842e+04
Ag_visible	74.5	446.50	1.019090e+04
Ag_visible	75.0	447.00	1.011314e+04
Ag_visible	75.5	447.50	1.003521e+04
Ag_visible	76.0	448.50	9.957273e+03
Ag_visible	76.5	449.00	9.879416e+03
Ag_visible	77.0	449.50	9.801559e+03
Ag_visible	77.5	450.00	9.723760e+03
Ag_visible	78.0	450.50	9.646074e+03
Ag_visible	78.5	451.00	9.568555e+03
Ag_visible	79.0	451.50	9.491253e+03
Ag_visible	79.5	452.50	9.414308e+03
Ag_visible	80.0	453.00	9.337706e+03
