# Vacuum reference incident electric field (atomic units), single polarization 'y'.
# Columns: time, xx, yy, zz — only the co-polarized diagonal is non-zero.
time,xx,yy,zz
5578.444450647,0.0,-2.256143058448703e-16,0.0
5578.544523201,0.0,-1.4187733677641998e-16,0.0
5578.644595755,0.0,2.212316031118619e-17,0.0
5578.744668309,0.0,1.7372044089303483e-16,0.0
5578.844740863,0.0,2.272532811588671e-16,0.0
5578.944813417,0.0,1.5246952998441763e-16,0.0
5579.044885971,0.0,-8.377978536823383e-18,0.0
5579.144958525,0.0,-1.6440429172468451e-16,0.0
5579.245031079,0.0,-2.2744580176338584e-16,0.0
5579.345103633,0.0,-1.6187763402713323e-16,0.0
5579.445176187,0.0,-4.7453327648414614e-18,0.0
5579.545248741,0.0,1.5516561201504686e-16,0.0
5579.645321295,0.0,2.274968220706106e-16,0.0
5579.745393849,0.0,1.713744387574412e-16,0.0
5579.845466403,0.0,1.8506656980680258e-17,0.0
5579.945538957,0.0,-1.447308729352103e-16,0.0
5580.045611511,0.0,-2.2610032485317904e-16,0.0
5580.145684065,0.0,-1.7962095191668814e-16,0.0
5580.245756619,0.0,-3.1552172100423524e-17,0.0
5580.345829173,0.0,1.344422013189141e-16,0.0
5580.445901727,0.0,2.2456682467490357e-16,0.0
5580.545974281,0.0,1.8789402080452704e-16,0.0
5580.646046835,0.0,4.51420270243087e-17,0.0
5580.746119389,0.0,-1.2302974146867419e-16,0.0
5580.846191943,0.0,-2.2159583730501023e-16,0.0
5580.946264497,0.0,-1.948589162715796e-16,0.0
5581.046337051,0.0,-5.792298064170162e-17,0.0
5581.146409605,0.0,1.118390533331655e-16,0.0
5581.246482159,0.0,2.185033881693881e-16,0.0
5581.346554713,0.0,2.0179696388118503e-16,0.0
5581.446627267,0.0,7.115610052876335e-17,0.0
5581.546699821,0.0,-9.960343788767484e-17,0.0
5581.646772375,0.0,-2.139944380993115e-16,0.0
5581.746844929,0.0,-2.0737808788469256e-16,0.0
5581.846917483,0.0,-8.348937448275213e-17,0.0
5581.946990037,0.0,8.767134860836992e-17,0.0
5582.047062591,0.0,2.093903971082881e-16,0.0
5582.147135145,0.0,2.1288845051518142e-16,0.0
5582.247207699,0.0,9.618542934823532e-17,0.0
5582.347280253,0.0,-7.477868231521674e-17,0.0
5582.447352807,0.0,-2.0340150692036642e-16,0.0
5582.547425361,0.0,-2.1700295468992923e-16,0.0
5582.647497915,0.0,-1.07894112756725e-16,0.0
5582.747570469,0.0,6.227620591411272e-17,0.0
5582.847643023,0.0,1.973543606462081e-16,0.0
5582.947715577,0.0,2.2101289028825275e-16,0.0
5583.047788131,0.0,1.1988022986604503e-16,0.0
5583.147860685,0.0,-4.890181472741204e-17,0.0
5583.247933239,0.0,-1.899642427801231e-16,0.0
5583.348005793,0.0,-2.2359839454778255e-16,0.0
5583.448078347,0.0,-1.307960931368971e-16,0.0
5583.548150901,0.0,3.6007976584690577e-17,0.0
5583.648223455,0.0,1.8256265559924923e-16,0.0
5583.748296009,0.0,2.2605610443295005e-16,0.0
5583.848368563,0.0,1.4190927487790384e-16,0.0
5583.948441117,0.0,-2.2333959775896015e-17,0.0
5584.048513671,0.0,-1.73869617587519e-16,0.0
5584.148586225,0.0,-2.270715739611881e-16,0.0
5584.248658779,0.0,-1.518751229984055e-16,0.0
5584.348731333,0.0,9.233296686024265e-18,0.0
5584.448803887,0.0,1.6522119764330226e-16,0.0
5584.548876441,0.0,2.2794693201913262e-16,0.0
5584.648948995,0.0,1.6196452735130366e-16,0.0
5584.749021549,0.0,4.5540163958724076e-18,0.0
5584.849094103,0.0,-1.5534177312236659e-16,0.0
5584.949166657,0.0,-2.2737325609681903e-16,0.0
5585.049239211,0.0,-1.708363995259601e-16,0.0
5585.149311765,0.0,-1.7674033844672045e-17,0.0
5585.249384319,0.0,1.4557157315485583e-16,0.0
5585.349456873,0.0,2.266582351713257e-16,0.0
5585.449529427,0.0,1.7976545114617044e-16,0.0
5585.549601981,0.0,3.138668676846769e-17,0.0
5585.649674535,0.0,-1.3463889771954207e-16,0.0
5585.749747089,0.0,-2.2449849960992073e-16,0.0
5585.849819643,0.0,-1.8741463594210567e-16,0.0
5585.949892197,0.0,-4.4338273484833275e-17,0.0
5586.049964751,0.0,1.238876716032267e-16,0.0
5586.150037305,0.0,2.2220728902265593e-16,0.0
5586.250109859,0.0,1.9506293832516366e-16,0.0
5586.350182413,0.0,5.778930916025302e-17,0.0
5586.450254967,0.0,-1.1204962613421303e-16,0.0
5586.550327521,0.0,-2.1848673835806535e-16,0.0
5586.650400075,0.0,-2.013777761465092e-16,0.0
5586.750472629,0.0,-7.03869898904194e-17,0.0
5586.850545183,0.0,1.0047186549599711e-16,0.0
5586.950617737,0.0,2.1465555088103744e-16,0.0
5587.050690291,0.0,2.0764279806780307e-16,0.0
5587.150762845,0.0,8.339306363121111e-17,0.0
5587.250835399,0.0,-8.78890129121171e-17,0.0
5587.350907953,0.0,-2.094212407581336e-16,0.0
5587.450980507,0.0,-2.1253024563922334e-16,0.0
5587.551053061,0.0,-9.545626561846204e-17,0.0
5587.651125615,0.0,7.565079120197601e-17,0.0
5587.751198169,0.0,2.041078116053649e-16,0.0
5587.851270723,0.0,2.173287582120952e-16,0.0
5587.951343277,0.0,1.0784020834268361e-16,0.0
5588.051415831,0.0,-6.249413538578832e-17,0.0
5588.151488385,0.0,-1.9742795613377903e-16,0.0
5588.251560939,0.0,-2.207156931829794e-16,0.0
5588.351633493,0.0,-1.1919578608543692e-16,0.0
5588.451706047,0.0,4.977078951456388e-17,0.0
5588.551778601,0.0,1.907107409595876e-16,0.0
5588.651851156,0.0,2.2398493741465855e-16,0.0
5588.75192371,0.0,1.3078908176822735e-16,0.0
5588.851996264,0.0,-3.6219387773126706e-17,0.0
5588.952068818,0.0,-1.8267376412614942e-16,0.0
5589.052141372,0.0,-2.2581918474303003e-16,0.0
5589.152213926,0.0,-1.412737384910923e-16,0.0
5589.25228648,0.0,2.3193069721312753e-17,0.0
5589.352359034,0.0,1.7465084713336315e-16,0.0
5589.452431588,0.0,2.275177531410787e-16,0.0
5589.552504142,0.0,1.5191888119617626e-16,0.0
5589.652576696,0.0,-9.43153208752304e-18,0.0
5589.75264925,0.0,-1.6536415141877024e-16,0.0
5589.852721804,0.0,-2.2776881884425805e-16,0.0
5589.952794358,0.0,-1.6138145319837102e-16,0.0
5590.052866912,0.0,-3.711335342201123e-18,0.0
5590.152939466,0.0,1.561518788010386e-16,0.0
5590.25301202,0.0,2.2787723873515243e-16,0.0
5590.353084574,0.0,1.7093415072468788e-16,0.0
5590.453157128,0.0,1.7495424985526725e-17,0.0
5590.553229682,0.0,-1.4574034821685222e-16,0.0
5590.653302236,0.0,-2.265367406972542e-16,0.0
5590.75337479,0.0,-1.7923772258383961e-16,0.0
5590.853447344,0.0,-3.0566752654706546e-17,0.0
5590.953519898,0.0,1.3547170599201307e-16,0.0
5591.053592452,0.0,2.2505775098116376e-16,0.0
5591.153665006,0.0,1.8756891582244822e-16,0.0
5591.25373756,0.0,4.4185457583841e-17,0.0
5591.353810114,0.0,-1.240759643603879e-16,0.0
5591.453882668,0.0,-2.221395406830064e-16,0.0
5591.553955222,0.0,-1.9459273685180867e-16,0.0
5591.654027776,0.0,-5.69981183884435e-17,0.0
5591.75410033,0.0,1.128987231942637e-16,0.0
5591.854172884,0.0,2.190980581180106e-16,0.0
5591.954245438,0.0,2.0159040662832503e-16,0.0
5592.054317992,0.0,7.026577555282722e-17,0.0
5592.154390546,0.0,-1.0067317201653555e-16,0.0
5592.2544631,0.0,-2.1463803157406952e-16,0.0
5592.354535654,0.0,-2.0723158174690292e-16,0.0
5592.454608208,0.0,-8.263621987161129e-17,0.0
5592.554680762,0.0,8.874782498485828e-17,0.0
5592.654753316,0.0,2.1008080698797386e-16,0.0
5592.75482587,0.0,2.128023177771065e-16,0.0
5592.854898424,0.0,9.537203513558992e-17,0.0
5592.954970978,0.0,-7.585848827833949e-17,0.0
5593.055043532,0.0,-2.0413640741195711e-16,0.0
5593.155116086,0.0,-2.1697724906476744e-16,0.0
5593.25518864,0.0,-1.0712285680516908e-16,0.0
5593.355261194,0.0,6.335601030587581e-17,0.0
5593.455333748,0.0,1.981313765647675e-16,0.0
5593.555406302,0.0,2.210475590713115e-16,0.0
5593.655478856,0.0,1.1915343267096132e-16,0.0
5593.75555141,0.0,-4.9978216500542977e-17,0.0
5593.855623964,0.0,-1.9078079570193395e-16,0.0
5593.955696518,0.0,-2.236931178440817e-16,0.0
5594.055769072,0.0,-1.301158495821571e-16,0.0
5594.155841626,0.0,3.707767683467151e-17,0.0
5594.25591418,0.0,1.8341613385762588e-16,0.0
5594.355986734,0.0,2.2621045845246784e-16,0.0
5594.456059288,0.0,1.412776099665522e-16,0.0
5594.556131842,0.0,-2.3393610154388057e-17,0.0
5594.656204396,0.0,-1.747572230671126e-16,0.0
5594.75627695,0.0,-2.272848713543707e-16,0.0
5594.856349504,0.0,-1.5129382455080534e-16,0.0
5594.956422058,0.0,1.0279671194824361e-17,0.0
5595.056494612,0.0,1.6614011638286047e-16,0.0
5595.156567166,0.0,2.282183862865016e-16,0.0
5595.25663972,0.0,1.614353027316206e-16,0.0
5595.356712274,0.0,3.524173309581401e-18,0.0
5595.456784828,0.0,-1.5628902264307952e-16,0.0
5595.556857382,0.0,-2.2770182300076757e-16,0.0
5595.656929936,0.0,-1.7036070934181234e-16,0.0
5595.75700249,0.0,-1.666383584785673e-17,0.0
5595.857075044,0.0,1.46544173561652e-16,0.0
5595.957147598,0.0,2.2704277821735676e-16,0.0
5596.057220152,0.0,1.7934466701745696e-16,0.0
5596.157292706,0.0,3.039925797628118e-17,0.0
5596.25736526,0.0,-1.356337194488029e-16,0.0
5596.357437814,0.0,-2.2493763248234075e-16,0.0
5596.457510368,0.0,-1.870498752440908e-16,0.0
5596.557582922,0.0,-4.33765774880302e-17,0.0
5596.657655476,0.0,1.249016069015842e-16,0.0
5596.75772803,0.0,2.22699542080533e-16,0.0
5596.857800584,0.0,1.947552230406632e-16,0.0
5596.957873138,0.0,5.685630190273848e-17,0.0
5597.057945692,0.0,-1.1307943710541062e-16,0.0
5597.158018246,0.0,-2.1903040203758535e-16,0.0
5597.2580908,0.0,-2.011278686886337e-16,0.0
5597.358163354,0.0,-6.948544927125524e-17,0.0
5597.458235908,0.0,1.015143558409056e-16,0.0
5597.558308462,0.0,2.1524884314425024e-16,0.0
5597.658381016,0.0,2.0745136124022054e-16,0.0
5597.75845357,0.0,8.252574302319973e-17,0.0
5597.858526124,0.0,-8.894087615720511e-17,0.0
5597.958598678,0.0,-2.100621513886873e-16,0.0
5598.058671232,0.0,-2.1239767955233064e-16,0.0
5598.158743786,0.0,-9.462572413980676e-17,0.0
5598.25881634,0.0,7.670878257664435e-17,0.0
5598.358888894,0.0,2.0479427052872583e-16,0.0
5598.458961448,0.0,2.1725536136094431e-16,0.0
5598.559034002,0.0,1.070489651126077e-16,0.0
5598.659106556,0.0,-6.355492010675346e-17,0.0
5598.75917911,0.0,-1.9815767852548104e-16,0.0
