# # polarizability field in atomic units, damped with signal_damped = signal * exp(-t/tau) where tau = 200

Timestamps (au),X Values,Y Values,Z Values
13.3,1.288105195464795e-14,-1.2479684861730238e-06,1.5104555146906042e-08
13.4,1.3705233234568237e-14,-1.2193148177896668e-06,1.4468382255906324e-08
13.5,1.3905933578256277e-14,-1.1887877822138543e-06,1.4247571856240662e-08
13.6,1.4106429847171702e-14,-1.1564368709325703e-06,1.4465209672192201e-08
13.7,1.5136097394909324e-14,-1.1223143708732525e-06,1.512442528670795e-08
13.8,1.5543011545796657e-14,-1.0864752803135822e-06,1.624041911683109e-08
13.9,1.553524198257643e-14,-1.0489772203272294e-06,1.7827601472301152e-08
14.0,1.5734509320542337e-14,-1.0098803420430904e-06,1.987552700704147e-08
14.1,1.634743261259302e-14,-9.692472304822953e-07,2.2377435585770583e-08
14.2,1.6546087027215465e-14,-9.271428046227532e-07,2.5334526260242637e-08
14.3,1.612437065032762e-14,-8.836342135301637e-07,2.872432246306887e-08
14.4,1.6322929845343838e-14,-8.387907294245809e-07,3.2517807959005874e-08
14.5,1.6314770420447377e-14,-7.926836377516433e-07,3.66996027259381e-08
14.6,1.5687376527120435e-14,-7.453861237840718e-07,4.123756189930396e-08
14.7,1.6092154136279847e-14,-6.969731564266711e-07,4.6083823368129873e-08
14.8,1.5877903531031715e-14,-6.475213697667101e-07,5.120525981892838e-08
14.9,1.6282173487405168e-14,-5.971089418424791e-07,5.656279705549322e-08
15.0,1.5656033127913197e-14,-5.458154708918035e-07,6.209617255249805e-08
15.1,1.5030514683763023e-14,-4.937218499560664e-07,6.775627137924393e-08
15.2,1.4611412228075192e-14,-4.4091013955337676e-07,7.34999217263093e-08
15.3,1.4398416681208902e-14,-3.8746343822782077e-07,7.926274378658364e-08
15.4,1.3568863885377856e-14,-3.334657519066957e-07,8.49844586371921e-08
15.5,1.3562081149260503e-14,-2.7900186222536606e-07,9.062067870235599e-08
15.6,1.2733768361017236e-14,-2.241571933180701e-07,9.611149012647646e-08
15.7,1.2316841678992759e-14,-1.6901767776258657e-07,1.0139286270197318e-07
15.8,1.1489972477668445e-14,-1.1366962230975285e-07,1.0642219430910151e-07
15.9,1.1074077894314083e-14,-5.8199572868752825e-08,1.1115147978372347e-07
16.0,1.0248650221662945e-14,-2.6941789857711307e-09,1.1552179035962119e-07
16.1,1.0038656633871506e-14,5.275994124322296e-08,1.194955577531533e-07
16.2,9.624102292415188e-15,1.0807633608830413e-07,1.2304185430304464e-07
16.3,7.981965240833412e-15,1.6316885516272345e-07,1.2611561854802887e-07
16.4,6.955157915306177e-15,2.1795178350455818e-07,1.286877980769618e-07
16.5,6.542758781739654e-15,2.72339974566189e-07,1.3074685852524107e-07
16.6,5.926411199426966e-15,3.26248982646392e-07,1.3226865035018664e-07
16.7,5.106421322849311e-15,3.795951940951564e-07,1.3323610460629347e-07
16.8,4.083095000307345e-15,4.322959566269561e-07,1.3365657070860068e-07
16.9,3.2648431704872098e-15,4.842697072902175e-07,1.3353073535419683e-07
17.0,2.8553097623219343e-15,5.354360988978483e-07,1.328564886246155e-07
17.1,2.6500337168453716e-15,5.857161239740294e-07,1.3165723598472287e-07
17.2,2.2412153340804286e-15,6.35032236480347e-07,1.2995851059567055e-07
17.3,1.8328050053334156e-15,6.833084716046788e-07,1.277749670387019e-07
17.4,4.0708640708737687e-16,7.304705626873766e-07,1.2514176854657218e-07
17.5,0.0,7.764460550862122e-07,1.2210532011588445e-07
17.6,-8.133590483113245e-16,8.211644175561883e-07,1.1869700512133387e-07
17.7,-8.129524704401071e-16,8.645571505338852e-07,1.1495888043952203e-07
17.8,-1.218819143710517e-15,9.065578906807134e-07,1.1095099175891064e-07
17.9,-1.421244867543277e-15,9.471025122538179e-07,1.0671910270069481e-07
18.0,-2.0293348896221546e-15,9.8612922518525e-07,1.0230750370948262e-07
18.1,-1.825488428221739e-15,1.0235786689741753e-06,9.7780738325102e-08
18.2,-2.838229196686575e-15,1.0593940026660117e-06,9.319420110762216e-08
18.3,-2.431551802978079e-15,1.0935209912712644e-06,8.859043946088691e-08
18.4,-2.430336330969914e-15,1.1259080877832578e-06,8.402912552495041e-08
18.5,-2.429121466545845e-15,1.1565065106148074e-06,7.956855235040639e-08
18.6,-2.225581608618642e-15,1.1852703170756533e-06,7.524641029548754e-08
18.7,-2.2244690959656736e-15,1.2121564723911531e-06,7.110954656343605e-08
18.8,-2.021233763118173e-15,1.2371249136618432e-06,6.721137212201841e-08
18.9,-1.2121340393092382e-15,1.2601386093527441e-06,6.35823753741765e-08
19.0,-1.0096067698175742e-15,1.281163614307568e-06,6.025133350611197e-08
19.1,-6.054612555674884e-16,1.3001691194784855e-06,5.7259208592647086e-08
19.2,-6.051586006097495e-16,1.317127496652546e-06,5.4627531825814385e-08
19.3,2.0161869898055458e-16,1.3320143386206996e-06,5.236513341926182e-08
19.4,6.045537444876055e-16,1.3448084940749672e-06,5.049456387555714e-08
19.5,1.007085905286644e-15,1.3554920970713162e-06,4.902707266171223e-08
19.6,1.811848478757769e-15,1.3640505917347922e-06,4.7952994042272434e-08
19.7,2.817022103718212e-15,1.3704727518601429e-06,4.7273290815751924e-08
19.8,3.620075071802703e-15,1.3747506948552051e-06,4.698803936479194e-08
19.9,4.422324483745394e-15,1.3768798906366266e-06,4.7073164713044955e-08
20.0,5.0228566752295005e-15,1.3768591656198614e-06,4.750836327651721e-08
20.1,6.225228884558982e-15,1.37469070109213e-06,4.8282245878080626e-08
20.2,7.4263977671356e-15,1.370380026246319e-06,4.936196041749422e-08
20.3,8.626364225542524e-15,1.3639360064392894e-06,5.0709770647980564e-08
20.4,9.624616321725306e-15,1.355370826104414e-06,5.2303450595395724e-08
20.5,1.0822280868496121e-14,1.3446999661559787e-06,5.410727494088515e-08
20.6,1.1818433217716134e-14,1.3319421766333932e-06,5.6072768632471045e-08
20.7,1.2813586959365685e-14,1.3171194444073482e-06,5.8168699409237685e-08
20.8,1.3607630627774796e-14,1.3002569554300286e-06,6.036156931049188e-08
20.9,1.4400877249197828e-14,1.2813830521589763e-06,6.260043729153492e-08
21.0,1.5593151827914812e-14,1.26052918646324e-06,6.48482508630229e-08
21.1,1.6384606288041556e-14,1.237729867384533e-06,6.707729954451485e-08
21.2,1.757469037648314e-14,1.2130226040183591e-06,6.924245461223691e-08
21.3,1.8164742905984368e-14,1.186447844212847e-06,7.130522679257631e-08
21.4,1.9552252251264764e-14,1.1580489086453558e-06,7.324547943588521e-08
21.5,1.9941304662003448e-14,1.1278719200994948e-06,7.5030617497224e-08
21.6,2.032996323195854e-14,1.095965728770631e-06,7.662579476851565e-08
21.7,2.0917441990904608e-14,1.0623818335805185e-06,7.801865844607513e-08
21.8,2.110610003543133e-14,1.0271742989951297e-06,7.919311635696467e-08
21.9,2.1692593480497872e-14,9.903996679974533e-07,8.012295040435529e-08
22.0,2.227849530483076e-14,9.52116871684177e-07,8.080274238837432e-08
22.1,2.3062621657294974e-14,9.123871349107727e-07,8.123353001945209e-08
22.2,2.3051093228813623e-14,8.712738782364034e-07,8.14016751008032e-08
22.3,2.383403851355762e-14,8.288426169912095e-07,8.130740670988997e-08
22.4,2.3425089065174856e-14,7.851608571252878e-07,8.096631714478903e-08
22.5,2.381021638809197e-14,7.40297987634292e-07,8.037941799292144e-08
22.6,2.3996633541142983e-14,6.943251704619266e-07,7.955136895809794e-08
22.7,2.4381078524665813e-14,6.473152279891924e-07,7.850736215173373e-08
22.8,2.397264890192017e-14,5.993425275898305e-07,7.726267631727169e-08
22.9,2.3366599484950518e-14,5.504828639237991e-07,7.582555137879804e-08
23.0,2.295907301901155e-14,5.008133395635339e-07,7.422469780337886e-08
23.1,2.2947596351907918e-14,4.504122433990576e-07,7.24867684443535e-08
23.2,2.2145224545093032e-14,3.993589270521104e-07,7.062309071407226e-08
23.3,2.154127555674853e-14,3.4773368021899456e-07,6.866008958120653e-08
23.4,2.153050761118088e-14,2.9561760465864926e-07,6.663086851487117e-08
23.5,2.1322316194586663e-14,2.4309248658368655e-07,6.454947376862397e-08
23.6,2.0719667209630994e-14,1.9024066840646951e-07,6.243574277866251e-08
23.7,2.0117615395108602e-14,1.3714492002601583e-07,6.03232292094495e-08
23.8,1.9516160304585262e-14,8.388830910975715e-08,5.822813635026249e-08
23.9,1.93093702730056e-14,3.0554071043592607e-08,5.616166174607599e-08
24.0,1.8511974409254963e-14,-2.2774520781298277e-08,5.415197353513413e-08
24.1,1.791220837175743e-14,-7.601428490013178e-08,5.2216411463499775e-08
24.2,1.6919559203684664e-14,-1.2908226172700918e-07,5.035789299480893e-08
24.3,1.6517820107543293e-14,-1.8189584256171587e-07,4.859477243441132e-08
24.4,1.5723393582736148e-14,-2.3437289791187872e-07,4.694397457409106e-08
24.5,1.5126201331627393e-14,-2.8643190541640826e-07,4.540248679345352e-08
24.6,1.4529602194613022e-14,-3.379920764110796e-07,4.397676482991901e-08
24.7,1.3541100073642157e-14,-3.8897348091911465e-07,4.268142507159985e-08
24.8,1.2553582577123036e-14,-4.392971716462598e-07,4.151099908135396e-08
24.9,1.215520399993421e-14,-4.88885306338537e-07,4.046070877455352e-08
25.0,1.13653132127537e-14,-5.376612678137653e-07,3.9541040819309085e-08
25.1,1.0576209081638538e-14,-5.855497822365099e-07,3.874761800593864e-08
25.2,1.0179406658203412e-14,-6.324770354928145e-07,3.8067621795362464e-08
25.3,9.196018397560396e-15,-6.783707867076477e-07,3.750614994414716e-08
25.4,8.213610735792319e-15,-7.231604791655575e-07,3.706259106709929e-08
25.5,7.623111745743622e-15,-7.667773489747854e-07,3.6720965458063964e-08
25.6,7.033201054708543e-15,-8.091545305634272e-07,3.648073102198414e-08
25.7,6.053340148020257e-15,-8.502271587898306e-07,3.634620986811951e-08
25.8,6.05031423448767e-15,-8.899324682865147e-07,3.630359159554015e-08
25.9,5.462068236740092e-15,-9.282098894705702e-07,3.6347651441935596e-08
26.0,5.06938517917601e-15,-9.650011405553952e-07,3.6487128534381455e-08
26.1,4.6770933416805875e-15,-1.0002503161497634e-06,3.671482951420587e-08
26.2,4.285192431253239e-15,-1.0339039723859234e-06,3.7022869472108095e-08
26.3,4.283050370597403e-15,-1.0659112076808075e-06,3.7422473652269015e-08
26.4,3.891735800640165e-15,-1.0962237393947479e-06,3.791550476209384e-08
26.5,3.889790419125752e-15,-1.1247959768014482e-06,3.849403726825002e-08
26.6,3.499061409053068e-15,-1.151585089555223e-06,3.916904373754277e-08
26.7,3.885902572953699e-15,-1.1765510714535984e-06,3.995124034876723e-08
26.8,3.3013660912254833e-15,-1.199656800156689e-06,4.0835154142247395e-08
26.9,3.2997158207818624e-15,-1.2208680924201945e-06,4.182870746126936e-08
27.0,3.4920702796946965e-15,-1.2401537542224333e-06,4.2948641593308024e-08
27.1,3.684231607712608e-15,-1.257485626384921e-06,4.419353902769647e-08
27.2,4.070009947346322e-15,-1.2728386257516735e-06,4.556607516119713e-08
27.3,4.261688567755259e-15,-1.2861907811212432e-06,4.708422880710396e-08
27.4,4.646790824829467e-15,-1.2975232641954158e-06,4.8750749568250847e-08
27.5,4.4509485097453965e-15,-1.3068204160538242e-06,5.0561905684352043e-08
27.6,5.028991886344593e-15,-1.314069768476937e-06,5.2531298671161125e-08
27.7,5.026478018920649e-15,-1.3192620599209236e-06,5.466423117428727e-08
27.8,5.796883163211041e-15,-1.3223912468626838e-06,5.6950545145548155e-08
